uid,year
27518688,2016
27521359,2016
27522921,2016
27524440,2016
27525286,2016
27526251,2016
27526490,2016
27526492,2016
27529422,2016
27532234,2016
27532277,2016
27532496,2016
27532497,2016
27532622,2016
27532747,2016
27532808,2016
27533717,2016
27535047,2016
27535512,2016
27538044,2016
27538321,2016
27538400,2016
27539802,2016
27540058,2016
27540152,2016
27540468,2016
27540984,2016
27541001,2016
27541191,2016
27541989,2016
27542120,2016
27542178,2016
27544075,2016
27544795,2016
27545046,2016
27545505,2016
27546187,2016
27546975,2016
27546976,2016
27547117,2016
27547128,2016
27548647,2016
27548930,2016
27549304,2016
27551005,2016
27551728,2016
27552392,2016
27552432,2016
27553173,2016
27553292,2016
27553402,2016
27554037,2016
27555094,2016
27555311,2016
27555815,2016
27555980,2016
27556383,2016
27556748,2016
27556838,2016
27557413,2017
27557815,2016
27558313,2016
27559830,2016
27560129,2016
27562089,2016
27562260,2016
27562269,2016
27564232,2016
27565347,2016
27566874,2016
27567120,2016
27567913,2016
27568284,2016
27569055,2017
27569879,2016
27570082,2016
27571349,2016
27572177,2016
27572275,2017
27572514,2017
27573074,2016
27573233,2016
27573577,2016
27573623,2016
27573961,2016
27578809,2016
27578819,2016
27579558,2016
27579616,2016
27580721,2016
27581052,2016
27581122,2016
27581255,2016
27581979,2016
27582188,2016
27582197,2016
27583097,2016
27583132,2016
27584546,2016
27584610,2016
27584813,2016
27584942,2016
27585037,2016
27585248,2016
27586510,2016
27587826,2016
27588363,2016
27588756,2016
27589583,2016
27589884,2017
27590716,2016
27590737,2017
27592842,2016
27593186,2017
27593350,2016
27593583,2016
27593584,2016
27593704,2016
27595140,2016
27596253,2016
27596376,2016
27596624,2016
27597462,2016
27598421,2016
27598870,2016
27599081,2016
27599407,2016
27599469,2016
27599470,2016
27599648,2016
27599795,2016
27600176,2017
27601223,2016
27601517,2016
27601533,2016
27601578,2016
27603093,2016
27603528,2016
27603576,2016
27604059,2016
27604081,2016
27604128,2016
27605056,2016
27605159,2016
27606053,2016
27607566,2016
27608262,2017
27609128,2016
27609862,2016
27609872,2016
27610070,2016
27610098,2016
27610587,2017
27611658,2017
27612155,2016
27612156,2016
27612157,2016
27612158,2016
27612415,2016
27613665,2016
27614319,2016
27615590,2016
27617166,2016
27617170,2016
27617189,2016
27617352,2016
27617437,2017
27617732,2016
27617787,2016
27617894,2016
27618294,2016
27618295,2016
27618573,2017
27618651,2016
27620510,2017
27621340,2016
27621342,2016
27622433,2016
27622492,2016
27623030,2016
27623452,2016
27623840,2016
27625288,2016
27626161,2016
27626374,2016
27627314,2016
27627457,2016
27627657,2016
27628851,2017
27629599,2016
27629942,2017
27630820,2016
27630846,2016
27631467,2016
27631604,2016
27632055,2016
27633273,2016
27633296,2016
27633330,2016
27633426,2016
27636525,2017
27637419,2016
27638290,2016
27639453,2016
27639850,2016
27640519,2016
27641566,2016
27641776,2016
27641777,2016
27643596,2016
27643685,2016
27644020,2016
27644171,2016
27645608,2016
27645783,2016
27645785,2016
27647195,2016
27647685,2017
27648063,2016
27650293,2017
27650447,2016
27650556,2016
27650823,2016
27651092,2016
27652985,2016
27653360,2016
27653589,2016
27653905,2016
27654889,2016
27654962,2016
27656170,2016
27656926,2016
27658737,2016
27659038,2016
27660733,2016
27662643,2017
27663284,2016
27664127,2016
27664930,2016
27665517,2017
27666816,2017
27668909,2016
27670692,2016
27671098,2017
27673286,2016
27673295,2016
27673296,2016
27673425,2017
27676336,2016
27676337,2016
27676340,2016
27676341,2016
27676342,2016
27676343,2016
27678028,2016
27679523,2016
27679623,2016
27679739,2016
27679755,2016
27681219,2016
27681334,2017
27681699,2016
27682031,2016
27682032,2016
27682065,2017
27682644,2016
27683027,2016
27683255,2016
27684046,2016
27684333,2016
27684526,2016
27684886,2016
27685812,2016
27686610,2016
27686742,2016
27687267,2016
27687478,2017
27687554,2016
27688094,2016
27688194,2016
27690112,2016
27690200,2016
27692070,2016
27692879,2016
27693104,2016
27693308,2016
27693357,2016
27693616,2016
27694072,2016
27694479,2017
27694629,2017
27694931,2016
27695847,2016
27695855,2016
27702593,2016
27702683,2016
27703544,2016
27704051,2016
27704772,2016
27704909,2017
27705077,2016
27705091,2016
27706105,2016
27706161,2016
27706382,2016
27707632,2017
27707728,2016
27708030,2016
27708058,2016
27708473,2016
27708476,2016
27711033,2016
27711041,2016
